scenario,family,M,T,R,missing,statistic,support_rate,refuted_rate,abstain_rate,ci_coverage,mean_est,H_true,label
equal_const,null,9,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.08691,0.0,FPR
equal_const,null,9,400,3,complete,frozen_gain,0.0033,0.0,0.97,0.9667,0.00092,0.0,FPR
equal_const,null,9,400,3,complete,crossfit_gain,0.0,0.0,0.99,0.9567,0.00043,0.0,FPR
equal_const,null,9,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.9167,-0.00085,0.0,FPR
equal_const,null,9,400,5,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.0898,0.0,FPR
equal_const,null,9,400,5,complete,frozen_gain,0.0067,0.0,0.9533,0.9333,0.00096,0.0,FPR
equal_const,null,9,400,5,complete,crossfit_gain,0.0,0.0,0.9533,0.9267,-0.00056,0.0,FPR
equal_const,null,9,400,5,complete,clone_calibrated_v3,0.0,0.0,1.0,0.8733,-0.001,0.0,FPR
equal_const,null,9,400,10,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.0908,0.0,FPR
equal_const,null,9,400,10,complete,frozen_gain,0.0,0.0,0.9667,0.9467,-9e-05,0.0,FPR
equal_const,null,9,400,10,complete,crossfit_gain,0.0,0.0,0.9733,0.9067,0.00027,0.0,FPR
equal_const,null,9,400,10,complete,clone_calibrated_v3,0.0,0.0,1.0,0.86,0.00043,0.0,FPR
equal_const,null,9,400,20,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.07899,0.0,FPR
equal_const,null,9,400,20,complete,frozen_gain,0.0,0.0,0.96,0.9333,-0.00024,0.0,FPR
equal_const,null,9,400,20,complete,crossfit_gain,0.0,0.0,0.9667,0.9333,-2e-05,0.0,FPR
equal_const,null,9,400,20,complete,clone_calibrated_v3,0.0067,0.0,0.9933,0.78,0.00151,0.0,FPR
equal_const,null,3,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.08679,0.0,FPR
equal_const,null,3,400,3,complete,frozen_gain,0.0,0.0,0.98,0.9267,0.00292,0.0,FPR
equal_const,null,3,400,3,complete,crossfit_gain,0.0,0.0,0.9867,0.9333,0.00105,0.0,FPR
equal_const,null,3,400,3,complete,clone_calibrated_v3,0.0,0.0,1.0,0.8733,-6e-05,0.0,FPR
equal_const,null,20,400,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.08476,0.0,FPR
equal_const,null,20,400,3,complete,frozen_gain,0.0,0.0,0.9667,0.9667,-0.00213,0.0,FPR
equal_const,null,20,400,3,complete,crossfit_gain,0.0,0.0,0.9867,0.9533,-0.00012,0.0,FPR
equal_const,null,20,400,3,complete,clone_calibrated_v3,0.0067,0.0,0.9933,0.9267,0.00011,0.0,FPR
equal_const,null,9,100,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.07409,0.0,FPR
equal_const,null,9,100,3,complete,frozen_gain,0.0133,0.0,0.9133,0.94,0.00337,0.0,FPR
equal_const,null,9,100,3,complete,crossfit_gain,0.0133,0.0,0.94,0.8733,0.00267,0.0,FPR
equal_const,null,9,100,3,complete,clone_calibrated_v3,0.02,0.0,0.98,0.8467,0.00069,0.0,FPR
equal_const,null,9,1000,3,complete,plugin_descriptive,1.0,0.0,0.0,0.0,0.09177,0.0,FPR
