[collect] 1720 cells already recorded in ad_shard0.jsonl
[collect] 1169 tasks over 9 databases | target=GLM-5.3-Flash
  [have] bare: complete
    p2_A_deepseek_s0_g0: 100/618 acc=0.810
    p2_A_deepseek_s0_g0: 200/618 acc=0.780
    p2_A_deepseek_s0_g0: 300/618 acc=0.800
    p2_A_deepseek_s0_g0: 400/618 acc=0.750
    p2_A_deepseek_s0_g0: 500/618 acc=0.696
    p2_A_deepseek_s0_g0: 600/618 acc=0.683
  [done] p2_A_deepseek_s0_g0: official_acc=0.681 on 618 new cells
    p2_A_deepseek_s0_g4: 100/1169 acc=0.590
    p2_A_deepseek_s0_g4: 200/1169 acc=0.640
    p2_A_deepseek_s0_g4: 300/1169 acc=0.657
    p2_A_deepseek_s0_g4: 400/1169 acc=0.660
    p2_A_deepseek_s0_g4: 500/1169 acc=0.662
    p2_A_deepseek_s0_g4: 600/1169 acc=0.657
    p2_A_deepseek_s0_g4: 700/1169 acc=0.677
    p2_A_deepseek_s0_g4: 800/1169 acc=0.694
    p2_A_deepseek_s0_g4: 900/1169 acc=0.704
    p2_A_deepseek_s0_g4: 1000/1169 acc=0.680
    p2_A_deepseek_s0_g4: 1100/1169 acc=0.670
  [done] p2_A_deepseek_s0_g4: official_acc=0.666 on 1169 new cells
    p2_A_deepseek_s1_g0: 100/1169 acc=0.550
    p2_A_deepseek_s1_g0: 200/1169 acc=0.620
    p2_A_deepseek_s1_g0: 300/1169 acc=0.647
    p2_A_deepseek_s1_g0: 400/1169 acc=0.650
    p2_A_deepseek_s1_g0: 500/1169 acc=0.650
    p2_A_deepseek_s1_g0: 600/1169 acc=0.648
    p2_A_deepseek_s1_g0: 700/1169 acc=0.670
    p2_A_deepseek_s1_g0: 800/1169 acc=0.688
    p2_A_deepseek_s1_g0: 900/1169 acc=0.693
    p2_A_deepseek_s1_g0: 1000/1169 acc=0.674
    p2_A_deepseek_s1_g0: 1100/1169 acc=0.664
  [done] p2_A_deepseek_s1_g0: official_acc=0.658 on 1169 new cells
    p2_A_deepseek_s1_g4: 100/1169 acc=0.590
    p2_A_deepseek_s1_g4: 200/1169 acc=0.630
    p2_A_deepseek_s1_g4: 300/1169 acc=0.633
    p2_A_deepseek_s1_g4: 400/1169 acc=0.642
    p2_A_deepseek_s1_g4: 500/1169 acc=0.646
    p2_A_deepseek_s1_g4: 600/1169 acc=0.642
    p2_A_deepseek_s1_g4: 700/1169 acc=0.663
    p2_A_deepseek_s1_g4: 800/1169 acc=0.685
    p2_A_deepseek_s1_g4: 900/1169 acc=0.693
    p2_A_deepseek_s1_g4: 1000/1169 acc=0.675
    p2_A_deepseek_s1_g4: 1100/1169 acc=0.662
  [done] p2_A_deepseek_s1_g4: official_acc=0.655 on 1169 new cells
    p2_A_ernie_s0_g0: 100/1169 acc=0.500
    p2_A_ernie_s0_g0: 200/1169 acc=0.590
    p2_A_ernie_s0_g0: 300/1169 acc=0.620
    p2_A_ernie_s0_g0: 400/1169 acc=0.630
    p2_A_ernie_s0_g0: 500/1169 acc=0.636
    p2_A_ernie_s0_g0: 600/1169 acc=0.642
    p2_A_ernie_s0_g0: 700/1169 acc=0.666
    p2_A_ernie_s0_g0: 800/1169 acc=0.675
    p2_A_ernie_s0_g0: 900/1169 acc=0.682
    p2_A_ernie_s0_g0: 1000/1169 acc=0.662
    p2_A_ernie_s0_g0: 1100/1169 acc=0.651
  [done] p2_A_ernie_s0_g0: official_acc=0.646 on 1169 new cells
    p2_A_ernie_s0_g4: 100/1169 acc=0.570
    p2_A_ernie_s0_g4: 200/1169 acc=0.615
