manifest,file,sha256_16_manifest,sha256_16_observed,bytes_manifest,bytes_observed,rows_parsed,unique_harness_task_repeat,conflicting_duplicate_keys,repeats,cache_modes,targets,provider_or_model_fields,non_null_cost_fields
primary_input_manifest.json,ad_shard0.jsonl,c3827816ee5dd93a,c3827816ee5dd93a,11824642,11824642,24364,24364,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 24364, ""n_llm_calls"": 24364, ""n_execs"": 24364}"
primary_input_manifest.json,ad_shard1.jsonl,a686de3333afbeac,a686de3333afbeac,15015704,15015704,30112,30112,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 30112, ""n_llm_calls"": 30112, ""n_execs"": 30112}"
primary_input_manifest.json,ad_shard2.jsonl,dfa7085d44b5be40,dfa7085d44b5be40,15672034,15672034,31830,31830,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 31830, ""n_llm_calls"": 31830, ""n_execs"": 31830}"
primary_input_manifest.json,ad_shard3.jsonl,9d93e05f5053450b,9d93e05f5053450b,14236289,14236289,28594,28594,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 28594, ""n_llm_calls"": 28594, ""n_execs"": 28594}"
primary_input_manifest.json,ad_s2.jsonl,ad215ff17fe19194,ad215ff17fe19194,9133262,9133262,18654,18654,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 18654, ""n_llm_calls"": 18654, ""n_execs"": 18654}"
primary_input_manifest.json,ad_boost_A1.jsonl,1dc69baed510c4db,1dc69baed510c4db,19284665,19284665,39545,36021,271,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 39545, ""n_llm_calls"": 39545, ""n_execs"": 39545}"
primary_input_manifest.json,ad_boost_A2.jsonl,a6257d256557dcbd,a6257d256557dcbd,6258282,6258282,13049,13049,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 13049, ""n_llm_calls"": 13049, ""n_execs"": 13049}"
primary_input_manifest.json,ad_boost_D1.jsonl,81a7d4549d7362b0,81a7d4549d7362b0,1742793,1742793,3489,3489,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 3489, ""n_llm_calls"": 3489, ""n_execs"": 3489}"
primary_input_manifest.json,ad_resume0.jsonl,1da7702e8f2285f1,1da7702e8f2285f1,7526140,7526140,15480,15197,23,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 15480, ""n_llm_calls"": 15480, ""n_execs"": 15480}"
primary_input_manifest.json,ad_resume1.jsonl,b2f739e3e500ef66,b2f739e3e500ef66,10674735,10674735,21660,18704,260,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 21660, ""n_llm_calls"": 21660, ""n_execs"": 21660}"
primary_input_manifest.json,ad_resume2.jsonl,5642c09343e9c885,5642c09343e9c885,12386702,12386702,24724,17535,473,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 24724, ""n_llm_calls"": 24724, ""n_execs"": 24724}"
primary_input_manifest.json,ad_resume3.jsonl,393d6d4d1245a979,393d6d4d1245a979,19662117,19662117,40145,18704,782,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 40145, ""n_llm_calls"": 40145, ""n_execs"": 40145}"
primary_input_manifest.json,ad_final0.jsonl,b0992feb62dceab7,b0992feb62dceab7,1132559,1132559,2338,2338,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 2338, ""n_llm_calls"": 2338, ""n_execs"": 2338}"
primary_input_manifest.json,ad_final1.jsonl,265d00aacc20612f,265d00aacc20612f,2880500,2880500,5845,5845,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 5845, ""n_llm_calls"": 5845, ""n_execs"": 5845}"
primary_input_manifest.json,ad_final2.jsonl,0a36631e68820804,0a36631e68820804,2868274,2868274,5845,5845,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 5845, ""n_llm_calls"": 5845, ""n_execs"": 5845}"
primary_input_manifest.json,ad_last.jsonl,e3b0c44298fc1c14,e3b0c44298fc1c14,0,0,0,0,0,[],[],[],[],{}
bc_input_manifest.json,run_BC_core.jsonl,8499aad1cb2c9530,8499aad1cb2c9530,13543642,13543642,27537,27537,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 27537, ""n_llm_calls"": 27537, ""n_execs"": 27537}"
bc_input_manifest.json,bc_boost1.jsonl,d69732275557d975,d69732275557d975,20566876,20566876,42000,42000,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 42000, ""n_llm_calls"": 42000, ""n_execs"": 42000}"
bc_input_manifest.json,bc_boost2.jsonl,b5208629eb629596,b5208629eb629596,9524810,9524810,18589,18551,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 18589, ""n_llm_calls"": 18589, ""n_execs"": 18589}"
bc_input_manifest.json,bc_s2.jsonl,77b41b947b29e6fd,77b41b947b29e6fd,3269877,3269877,6583,6583,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 6583, ""n_llm_calls"": 6583, ""n_execs"": 6583}"
bc_input_manifest.json,bc_final.jsonl,f84cc0389edcfb78,f84cc0389edcfb78,4257588,4257588,8558,8558,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 8558, ""n_llm_calls"": 8558, ""n_execs"": 8558}"
bc_input_manifest.json,bc_last.jsonl,e26fa97d0f94a358,e26fa97d0f94a358,1170674,1170674,2351,2351,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 2351, ""n_llm_calls"": 2351, ""n_execs"": 2351}"
bc_input_manifest.json,bc_rem0.jsonl,aeef96bbf836f9c6,aeef96bbf836f9c6,3419152,3419152,6800,6800,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 6800, ""n_llm_calls"": 6800, ""n_execs"": 6800}"
bc_input_manifest.json,bc_rem1.jsonl,ab184a6e9bbe911e,ab184a6e9bbe911e,3668861,3668861,7249,6800,37,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 7249, ""n_llm_calls"": 7249, ""n_execs"": 7249}"
bc_input_manifest.json,bc_rem2.jsonl,7dd430299c9b2dcb,7dd430299c9b2dcb,3555855,3555855,7200,7200,0,[0],[false],"[""GLM-5.3-Flash""]",[],"{""latency_ms"": 7200, ""n_llm_calls"": 7200, ""n_execs"": 7200}"
